run,name,position,color,bowl,task,success,failure_type,duration_s,notes,timestamp,policy,mode
smolvla100_all4,smolvla100_all4,15,red,right,put the red block in the right bowl,0,touch_no_grip,62.0,"missed initial grip, incremental adjustments were insufficient",2026-09-09T22:37:40,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,smolvla100_all4,16,blue,left,put the blue block in the left bowl,0,touch_no_grip,61.5,"initial grip fails, pushes block away, gripper keeps trying to close at some offset to block and never recovers",2026-09-09T22:39:14,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,smolvla100_all4,17,red,left,put the red block in the left bowl,0,no_reach,60.7,"gripper moves to some offset to block, grippers twitch but not oriented correctly",2026-09-09T22:40:44,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,smolvla100_all4,18,blue,right,put the blue block in the right bowl,0,no_reach,63.9,"gripper misses original grip, then returns to some offset to block and continues attempting to grip",2026-09-09T22:42:14,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,smolvla100_all4,19,red,right,put the red block in the right bowl,0,touch_no_grip,62.2,"misses first grip due to off angle block positioning, attempts again 2-3 times but does not grip",2026-09-09T22:43:44,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla100_all4,smolvla100_all4,20,blue,left,put the blue block in the left bowl,0,drop,62.0,"gripped block, released too early and dropped just short of bowl, attempted to recover at some offset to block and never gripped again",2026-09-09T22:45:15,experiments/checkpoints/smolvla_so101_blocks_n100_s0,sync
smolvla_n10_pair,smolvla_n10_pair,1,red,left,put the red block in the left bowl,0,no_reach,65.8,"arms oscillate up and down, never reaches block",2026-09-10T11:44:46,experiments/checkpoints/smolvla_so101_blocks_n10_s0,sync
smolvla_n10_pair,smolvla_n10_pair,2,blue,right,put the blue block in the right bowl,0,drop,63.7,initially grips block but drops during transit,2026-09-10T11:46:16,experiments/checkpoints/smolvla_so101_blocks_n10_s0,sync
smolvla_n10_pair,smolvla_n10_pair,3,red,left,put the red block in the left bowl,0,no_reach,63.6,"hovers over center of mat, never reaches block",2026-09-10T11:47:56,experiments/checkpoints/smolvla_so101_blocks_n10_s0,sync
smolvla_n10_pair,smolvla_n10_pair,4,blue,right,put the blue block in the right bowl,0,no_reach,63.5,arm moves to offset from block but fails to grip,2026-09-10T11:51:04,experiments/checkpoints/smolvla_so101_blocks_n10_s0,sync
smolvla_n10_pair,smolvla_n10_pair,5,red,left,put the red block in the left bowl,0,touch_no_grip,62.7,"touches block but doesn't position correctly to grip, no pickup",2026-09-10T11:52:41,experiments/checkpoints/smolvla_so101_blocks_n10_s0,sync
smolvla_n10_pair,smolvla_n10_pair,6,blue,right,put the blue block in the right bowl,0,no_reach,62.1,"tries to grip at offset to block, performs motion of moving over bowl but never gripped block",2026-09-10T11:54:48,experiments/checkpoints/smolvla_so101_blocks_n10_s0,sync
smolvla_n10_pair,smolvla_n10_pair,7,red,left,put the red block in the left bowl,0,no_reach,62.0,hovers close to block at offset but never grips,2026-09-10T11:56:26,experiments/checkpoints/smolvla_so101_blocks_n10_s0,sync
smolvla_n10_pair,smolvla_n10_pair,8,blue,right,put the blue block in the right bowl,0,no_reach,62.8,hovers over at offset to block but no grip,2026-09-10T11:57:53,experiments/checkpoints/smolvla_so101_blocks_n10_s0,sync
